address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,none,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
3340 S Maryland,True,True,False,False,True,True,True,False,False,True,False,True,True,True,Wg91oE233AzNieNryRJYYg,"Burgers, American (New), American (Traditional), Bars, Nightlife, Restaurants, Sports Bars, Steakhouses",Las Vegas,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,36.12920857,-115.1369381,Applebee's Grill + Bar,Eastside,89169,130,2.5,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,3 days 19:00:00.000000000,0.0,5.0,2.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
4830 W Pyle Ave,True,True,False,False,False,True,True,False,False,True,False,True,True,,mwE5uNVkxCXvEuVa1KQ_3g,"Restaurants, Beer, Wine & Spirits, American (New), Food, Nightlife, Bars",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.006571,-115.20638,Distill - A Local Bar,Southwest,89141,300,4.0,NV,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
211 E Flamingo Rd,True,True,,,True,,True,,False,True,False,True,False,,hpg2c5vFer85hvTnun2mNg,"Restaurants, American (New)",Las Vegas,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,36.113748,-115.162994,Kilawat,Eastside,89169,10,2.5,NV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2 days 08:00:00.000000000,5.0,0.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
8560 S Las Vegas Blvd,True,True,False,False,False,True,True,False,False,True,False,True,True,True,vmg_VdqXVOVhUoacU2pfdw,"Pubs, American (Traditional), Sports Bars, Bars, Restaurants, Nightlife",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.0342435,-115.1714093,The Bar @ Las Vegas Blvd & Wigwam,Southeast,89123,147,4.0,NV,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
11011 W Charleston Blvd,True,True,True,False,True,True,True,False,False,True,True,True,True,True,vl1aHp6pvnSmpoRQShWLjg,"Barbeque, Southern, Bars, Restaurants, Nightlife, American (Traditional), Smokehouse, Food",Las Vegas,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,36.1568053738,-115.334111417,Lucille's Smokehouse Bar-B-Que,South Summerlin,89135,597,3.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 07:00:00.000000000,0.0,5.0,2.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
4100 Paradise Rd,True,True,False,,False,,True,False,False,True,True,True,False,,_V0yJdpXrbdKzBDoVSJGWA,"Event Planning & Services, Casinos, Food, Hotels, American (Traditional), Restaurants, Do-It-Yourself Food, Arts & Entertainment, Hotels & Travel",Las Vegas,,,,,,,,36.1141583,-115.1535379,Silver Sevens Hotel and Casino,Eastside,89169,347,2.5,NV,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
6635 Las Vegas Blvd. South,True,True,True,,True,,True,True,False,True,True,True,True,True,uUEKndnFbHD8mVkGiirtpA,"Seafood, Hawaiian, American (New), Restaurants",Las Vegas,11:0-23:0,11:0-22:0,11:0-23:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,36.0684969257,-115.176930629,Tommy Bahama Restaurant | Bar | Store - Las Vegas,Southeast,89119,455,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,3 days 06:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
820 E Warm Springs Rd,True,True,False,False,True,True,True,False,False,True,False,True,True,,qRhxldX3lnOMJUNlytYvfQ,"Bars, Sports Bars, Restaurants, Chicken Wings, American (New), Burgers, Steakhouses, Nightlife, American (Traditional)",Las Vegas,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,36.0575942,-115.1451,Applebee's Grill + Bar,Southeast,89119,93,2.5,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,3 days 19:00:00.000000000,0.0,5.0,2.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
5715 S Pecos Rd,True,True,True,,True,,True,False,True,True,False,True,True,True,BjS35X3-_-9TP-RyfzoC_Q,"Diners, Restaurants, American (Traditional), Breakfast & Brunch",Las Vegas,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,36.08598903,-115.101469707,Hometown Eats,Southeast,89120,248,4.0,NV,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,2 days 08:00:00.000000000,5.0,0.0,2.0,,,,,,,,,,,,,,,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
3650 S Jones Blvd,True,True,True,,True,,True,False,True,True,True,True,True,True,qL1YorxvE_D-xoPF9f6f8w,"Colombian, Restaurants, Specialty Food, Comfort Food, Ethnic Food, Food, Breakfast & Brunch, Seafood, Latin American",Las Vegas,10:0-21:0,10:0-21:0,10:0-21:0,10:0-20:0,10:0-21:0,10:0-21:0,10:0-21:0,36.1230052,-115.2241009,Aracely's Sazón Colombian Restaurant,Chinatown,89103,73,3.5,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,3 days 04:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
9051 W Charleston Blvd,True,True,False,False,True,True,True,False,False,True,False,True,True,,O9LDS66IUKIBkGz_uFZKWQ,"Tex-Mex, Bars, American (Traditional), Nightlife, Restaurants",Las Vegas,11:0-23:0,11:0-22:30,11:0-23:0,11:0-22:0,11:0-22:30,11:0-22:30,11:0-22:30,36.1584759,-115.2930652,Chili's,Westside,89117,121,3.0,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,3 days 09:00:00.000000000,0.0,5.0,2.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
4424 W Spring Mountain Rd,True,True,False,False,False,True,True,False,False,True,False,True,True,True,glVCZzuFSnf24UGYsOl2Vw,"Nightlife, American (New), Pubs, Bars, Sports Bars, Restaurants, Beer, Wine & Spirits, Food",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.1266402147,-115.19954771,PT's,Chinatown,89102,64,3.0,NV,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
2901 S Las Vegas Blvd,False,True,False,,True,,False,False,False,True,False,True,True,True,Oh62VtPS3Jj9e6CNRxJh5w,"Cafes, Asian Fusion, American (Traditional), Chinese, Restaurants",Las Vegas,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,36.1356446,-115.1615118,Banana Leaf Café,The Strip,89109,65,2.5,NV,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,True,True,3 days 05:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
"6640 N. Durango Dr, Ste 110",False,True,True,False,True,True,True,False,False,True,False,True,True,True,uDeycmwCy26ALJHeG3SsEA,"American (Traditional), Restaurants, Sports Bars, Chicken Wings, Nightlife, Bars",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.2812317365,-115.286151141,Buffalo Wild Wings,Centennial,89149,268,3.0,NV,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
5757 Wayne Newton Blvd,False,True,False,False,True,True,True,False,False,False,False,True,True,,UGiMMw54qYxac0eE_cBbaA,"Nightlife, Mexican, Restaurants, American (New), Sports Bars, Bars",Las Vegas,,,,,,,,36.0826883675,-115.148259147,Sammy's Beach Bar & Grill,Southeast,89169,195,2.5,NV,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
3377 So Las Vegas Blvd,False,True,False,,True,,False,False,False,True,False,True,True,True,7xEgy2btCKLdTe1vD14ABw,"Burgers, Restaurants, Diners, American (Traditional), Sandwiches",Las Vegas,10:0-0:0,10:0-11:0,10:0-0:0,10:0-11:0,10:0-11:0,10:0-11:0,10:0-11:0,36.1212025005,-115.168299932,Johnny Rockets,The Strip,89109,51,3.0,NV,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1 days 09:00:00.000000000,0.0,1.0,2.0,,,,,,,,,,,,,,,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
"7430 Las Vegas Blvd South, Suite 120",True,True,True,False,True,True,True,False,False,True,False,True,True,True,7Xw_vv-ekUL2sTqipnKT0g,"Nightlife, Restaurants, Chicken Wings, Bars, Barbeque, Sports Bars, American (Traditional)",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.054301,-115.171477,Buffalo Wild Wings,Southeast,89123,432,2.5,NV,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False
6570 S Buffalo Dr,True,True,False,False,False,True,True,True,False,True,False,True,True,,kzwiQ54fopeTgGEIkgJ2dQ,"Nightlife, Bars, Restaurants, American (Traditional), Pubs, Breakfast & Brunch, Sports Bars, American (New)",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.0687921,-115.2601824,Pt's Gold,Spring Valley,89113,101,3.5,NV,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
3333 Blue Diamond Rd,True,True,False,,True,,True,False,False,True,False,True,True,True,H8umkLwMkM0vP5B8oPiozQ,"American (Traditional), Restaurants",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.0420620086,-115.183415054,Sundance Grill,Southwest,89139,167,3.0,NV,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,0 days 00:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1280 S Decatur Blvd,True,True,False,,True,,False,False,False,True,False,True,True,True,y0x795PyDX8JL_oyIaTUiQ,"Diners, Breakfast & Brunch, Restaurants, American (Traditional)",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.156431,-115.2077526,Blueberry Hill Family Restaurant,Westside,89102,460,3.5,NV,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
"7060 S Durango Dr, Ste 101",False,True,True,,True,,True,False,False,True,True,True,True,True,9cw870n3gsGikVoOT5YOYg,"Seafood, Restaurants, Sushi Bars, Asian Fusion, American (New), American (Traditional), Japanese",Las Vegas,11:30-22:30,11:30-22:30,15:0-22:30,15:0-22:30,11:30-22:30,11:30-22:30,11:30-22:30,36.0609228604,-115.277371824,Pier 215,Spring Valley,89113,513,4.5,NV,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,2 days 22:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
"Hard Rock Hotel & Casino, 4455 Paradise Rd",,True,False,,False,,False,False,False,True,True,True,False,True,3cg4pKBL8DTFXCtZ5y9V4g,"Restaurants, American (New)",Las Vegas,,,,,,,,36.1090162612,-115.153868794,Johnny Smalls,Eastside,89199,133,3.5,NV,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
"9410 W Sahara Ave, Ste 150",True,True,False,,True,,True,False,False,True,True,True,True,True,ZibmYdOPKLlqDM9oR6xzOA,"Asian Fusion, Burgers, Restaurants, Bars, Nightlife, Wine Bars, American (New)",Las Vegas,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,36.1469098416,-115.30077702,Bachi Burger,Westside,89117,1114,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 05:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
7680 S Las Vegas Blvd,True,True,False,,True,,False,False,False,True,False,True,True,,ac3laXcJnclYZAO65XAcmA,"Breakfast & Brunch, Diners, American (Traditional), Burgers, Restaurants",Las Vegas,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,36.050586,-115.171451,Black Bear Diner,Southeast,89123,287,4.0,NV,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,4 days 16:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1341 W Warm Springs,False,True,False,False,False,True,True,True,False,True,False,True,True,True,84DjKzaR26vphu9fNI9nKg,"Beer, Wine & Spirits, Sports Bars, Nightlife, Food, Pubs, American (New), Restaurants, Bars",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.0568324,-115.1724605,Sierra Gold,Southeast,89128,90,3.0,NV,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
2301 E Sunset Rd,True,True,False,False,False,False,True,False,False,True,False,True,True,,kiweDovyXezj-ZMpB1tlXg,"Restaurants, Pubs, American (Traditional), Breweries, Food, Arts & Entertainment, Bars, Casinos, Nightlife",Las Vegas,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,36.0708749,-115.1200613,Village Pub & Poker,Southeast,89119,45,4.0,NV,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,0.0,2.0,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
1800 E Flamingo Rd,,True,,,True,,,True,False,True,,True,True,True,eWYpJIv1xDaNAmRTT_WjeQ,"Restaurants, American (Traditional)",Las Vegas,,,,,,,,36.1151472,-115.127891,T.G.I. Friday's,Eastside,89119,3,3.0,NV,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"6593 Las Vegas Blvd S, Ste 222",True,True,False,False,False,True,True,True,True,True,True,True,True,True,km5aBHRss5ir_B0jvEErzQ,"Irish Pub, Nightlife, Dive Bars, Irish, Restaurants, Bars, American (New), Mediterranean, American (Traditional)",Las Vegas,11:0-4:0,15:0-0:0,11:0-4:0,11:0-0:0,15:0-2:0,15:0-0:0,15:0-0:0,36.0683598964,-115.177980123,McFadden's Restaurant and Saloon,Southeast,89119,412,2.0,NV,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,3 days 13:00:00.000000000,0.0,5.0,2.0,,,,,,,,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
4178 Koval Ln,True,True,False,,False,,True,False,False,True,False,True,True,,EdIFp1tdPi1267hm3da6Nw,"American (Traditional), Barbeque, Restaurants",Las Vegas,16:0-23:0,16:0-22:0,16:0-23:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,36.1112674181,-115.164153054,Ellis Island BBQ,Eastside,89109,155,4.0,NV,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1 days 20:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
4570 W Sahara Ave,True,True,False,False,True,True,True,True,False,True,True,True,True,True,U9nXdynQ2YR5xYx8tM3S7w,"Wine Bars, Nightlife, Bars, American (Traditional), Burgers, Restaurants, American (New)",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.1448718,-115.2023475,TGI Fridays,Westside,89102,207,2.5,NV,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
