,address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy,negative_reviews,neutral_reviews,positive_reviews
17,"2103 Western Ave, Ste A",True,True,True,,True,,True,False,True,False,False,False,True,,kc5JPu8lkg64yUbrheJxng,"Restaurants, Vegetarian, Pizza, Wraps, Juice Bars & Smoothies, Italian, Food",Las Vegas,10:0-1:0,10:0-1:0,10:0-1:0,11:45-1:0,10:0-1:0,10:0-1:0,10:0-1:0,36.14795529999999,-115.1645721,Daddy's Delights,,89102,120,3.0,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,4 days 07:15:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,42.0,11.0,67.0
18,6653 Las Vegas Blvd,True,True,True,False,True,True,True,True,True,True,True,True,True,True,UYh1N1xQhOh-a7nX92xPzQ,"Cocktail Bars, Tuscan, Pizza, Gluten-Free, Italian, Nightlife, Bars, Restaurants",Las Vegas,11:0-0:0,11:0-23:0,11:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,36.0681523873,-115.175929912,Brio Tuscan Grille,Southeast,89119,1142,4.0,NV,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,3 days 14:00:00.000000000,0.0,5.0,2.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,113.0,96.0,933.0
19,"4950 S Rainbow Blvd, Ste 120",True,True,True,,True,,True,False,True,True,False,True,True,,I5RoKagQjGYCWgY4_fK_rQ,"Restaurants, Pizza, Italian",Las Vegas,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,36.098922722800005,-115.242402161,Russo's Pizza Kitchen,Spring Valley,89118,168,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,2 days 22:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,27.0,18.0,123.0
20,"The Venetian Resort Hotel Casino, 3355 Las Vegas Blvd. S",False,True,False,,True,,False,False,False,True,False,False,True,True,b24sTA2JkHB4joNlNkBkfQ,"Italian, Sandwiches, American (New), Burgers, Restaurants",Las Vegas,,,,,,,,36.121558,-115.169758,San Gennaro Grill,The Strip,89109,37,3.0,NV,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,7.0,9.0,21.0
21,"4235 S Fort Apache Rd, Ste 160",True,True,True,,True,,True,False,True,True,True,True,True,True,N6MzDoao6s68nAIW8vS9dQ,"Italian, Restaurants, Food, Pizza, Specialty Food, Pasta Shops",Las Vegas,10:0-22:0,10:0-21:0,10:0-22:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,36.1121815,-115.2980281,Biaggio's Pizzeria,Spring Valley,89147,578,4.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 07:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,54.0,31.0,493.0
22,7150 S Durango Dr,True,True,True,,False,,True,False,True,True,True,True,True,True,aidcfUzZLOjWgwlxfv3UlA,"Restaurants, Pizza, Italian",Las Vegas,10:0-2:0,10:0-2:0,10:0-3:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,36.0583571386,-115.278411222,Tony Big's Pizza N Pasta,Spring Valley,89113,107,3.0,NV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4 days 17:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,35.0,19.0,52.0
23,"7668 W Lake Mead Blvd, Unit 107",True,True,True,,True,,False,True,True,False,True,True,True,True,1WBVqmo7tgF0z0eGf4fPhQ,"Noodles, Italian, Restaurants",Las Vegas,11:0-21:0,11:0-21:0,11:0-21:0,11:0-20:0,11:0-21:0,11:0-21:0,11:0-21:0,36.196944,-115.262117,Pastaidea,Summerlin,89128,431,4.5,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,2 days 21:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,34.0,41.0,355.0
24,3770 Las Vegas Blvd S,False,True,,,True,,False,False,False,True,False,True,True,True,ppmYIHMCIL5bocUsJSsDWA,"Italian, Restaurants",Las Vegas,,,,,,,,36.104612,-115.17603,Market City Caffe,The Strip,89109,11,3.5,NV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3.0,1.0,7.0
25,"9320 Sun City Blvd, Ste 100",True,True,True,,True,,False,True,False,True,True,True,False,True,cZO6RmJcqRY9jGbYY71z-A,"Restaurants, Italian",Las Vegas,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,36.2116994,-115.298321,My Mother's House Italian Restaurant,Summerlin,89134,118,4.5,NV,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,2 days 01:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,4.0,9.0,105.0
26,"8465 W Sahara Ave, Ste 114, Seattle Dan's",True,True,True,,True,,True,False,True,True,True,True,True,True,0-cZ9XfpC3vsLotOJ6Nxfg,"Restaurants, Pizza, Food Delivery Services, Italian, Food, Sandwiches",Las Vegas,11:0-3:0,11:0-19:45,11:0-20:45,11:0-21:0,11:0-21:0,11:0-21:0,11:0-19:45,36.1429966,-115.2761062,Double Down,Westside,89117,3,3.5,NV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3 days 01:15:00.000000000,0.0,3.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.0,0.0,3.0
27,5025 S Fort Apache Rd,True,True,True,,True,,True,False,True,True,False,False,True,True,JFNv5sKeKAf1ZVPnfbzpXw,"Italian, Food Delivery Services, Food, Restaurants, Chicken Wings, Pizza",Las Vegas,11:0-0:0,11:0-22:0,11:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,36.0979679,-115.2977961,East West Pizzeria,Spring Valley,89148,146,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 09:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,31.0,11.0,104.0
28,"6599 S Las Vegas Blvd, Ste 210",True,True,True,False,True,True,True,True,False,True,True,True,True,True,y1esDY2vFyaTMf1YlRT7ZA,"Restaurants, Pizza, Wine Bars, Italian, Nightlife, Bars",Las Vegas,11:0-22:0,16:0-22:0,11:0-22:0,11:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,36.06816,-115.177495,La Bella Napoli Pizzeria,Southeast,89119,215,4.5,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,True,2 days 09:00:00.000000000,0.0,5.0,2.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,13.0,13.0,189.0
29,5861 W Craig Rd,,True,True,,True,,True,False,True,True,False,True,True,,AOEHe6uKrnC_Aje3kT8-7w,"Pizza, Restaurants, Italian",Las Vegas,10:0-1:0,10:0-23:0,10:0-1:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,36.2384845,-115.2245482,Angelo's Pizza  Kitchen,Northwest,89130,29,2.5,NV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3 days 23:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,15.0,2.0,12.0
30,10520 Southern Highlands Pkwy,True,True,True,,True,,False,False,True,False,False,False,True,True,grf5Gmn_GAh8ImHTi3HLPg,"Chicken Wings, Italian, Restaurants, Pizza",Las Vegas,10:30-0:0,10:30-23:0,10:30-0:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,35.9981629522,-115.206655461,Pizza Hut,Southwest,89141,45,2.5,NV,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3 days 17:30:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,17.0,8.0,20.0
31,3400 S Hualapai Way,True,True,False,,True,,False,False,True,True,False,False,True,True,30TxDt2V8G7FWXsKaEKA9A,"Chicken Wings, Italian, Pizza, Restaurants",Las Vegas,10:0-0:0,10:0-23:0,10:0-0:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,36.128052,-115.314556,Marco's Pizza,South Summerlin,89117,43,3.5,NV,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,3 days 21:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,9.0,6.0,28.0
32,3333 S Maryland Pkwy,,True,,,True,,,False,,True,,True,,,i7VXx6AGmXtujc0kC1mUrw,"Nightlife, Lounges, Bars, Restaurants, Italian",Las Vegas,,,,,,,,36.1289807,-115.1374885,Capozzoli's Italian Restaurant,Eastside,89169,5,4.0,NV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1.0,0.0,4.0
33,3645 Las Vegas Blvd S,False,True,True,,True,,False,False,False,True,True,True,True,True,2O_b-IAAW7SoPt__RX1Kww,"Italian, Restaurants, Pizza",Las Vegas,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,36.113615837,-115.169611573,Buca di Beppo,The Strip,89109,117,2.5,NV,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,False,False,True,4 days 16:00:00.000000000,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,45.0,15.0,56.0
34,"9905 S Eastern Ave, Ste 140",False,True,True,,True,,True,True,True,True,True,True,True,True,dPxZI9lrKTl5dvFfnb1_Ig,"Restaurants, Seafood, Italian, Pizza",Las Vegas,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,36.01008560000001,-115.1186563,Trattoria Italia,Anthem,89183,283,4.5,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,3 days 00:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,14.0,19.0,250.0
35,5745 S Durango Dr,,True,,,False,,,False,False,True,True,True,True,True,bWKvYA16me11_2Ws2sLRww,"Restaurants, Italian",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.0843559,-115.279599,Jr's Place,Spring Valley,89148,12,4.0,NV,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1.0,2.0,9.0
36,8680 W Warm Springs Rd,True,True,True,,True,,False,True,True,True,False,False,True,True,YNHvFEvp9VDNwX5VhRanYQ,"Restaurants, Italian",Las Vegas,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,36.055816820100006,-115.28128738,Mac Shack Spring Valley,Southwest,89148,384,3.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 00:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,68.0,38.0,278.0
37,"The Orleans Hotel & Casino, 4500 W Tropicana Ave",False,True,True,,True,,False,False,False,True,False,False,True,,G9h56Qy5DudCqKBmbPWyzQ,"Pizza, Food, Italian, Restaurants",Las Vegas,,,,,,,,36.1025498,-115.2016926,Sbarro,,89103,41,2.5,NV,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,15.0,5.0,21.0
