address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
132 Yonge Street,True,,False,,True,,False,False,False,True,True,,True,,ryEwIARbKHvb0lCkAam8dQ,"Italian, Bakeries, Restaurants, Food, Coffee & Tea",Toronto,8:0-23:0,8:0-22:0,8:0-23:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,43.6509163401,-79.3787852302,Sud Forno,Downtown Core,M5C 1X3,95,3.5,ON,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,4 days 04:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
791 King Street W,True,True,True,,True,,True,True,False,True,True,True,True,True,o7io7ITyHfjXOpxIktL0Bg,"Restaurants, Pizza, Tapas Bars, Italian, Sandwiches, Salad",Toronto,11:30-0:0,,11:0-0:0,11:0-22:0,16:0-23:0,16:0-22:0,16:0-22:0,43.6430561,-79.4068177,Luce Restaurant,Niagara,M5V 1N4,24,4.0,ON,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,,,,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
440 Bloor Street W.,True,True,False,False,False,True,True,True,False,True,True,True,True,True,OyiOg9GYKzHI19EbnWqL8A,"Bars, Breakfast & Brunch, Pizza, Nightlife, Italian, Sandwiches, Restaurants",Toronto,11:30-2:0,16:0-23:30,10:0-2:0,10:0-22:0,11:30-0:0,16:0-23:30,11:30-2:0,43.6658099,-79.408497,Hey Lucy,The Annex,M5S 1X5,93,3.0,ON,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,3 days 12:30:00.000000000,0.0,5.0,2.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
3218 Weston Road,True,True,True,,True,,True,False,False,True,True,True,True,,X3UyZfplYAXdSJpWPaxUIA,"Restaurants, Italian",Toronto,10:0-22:0,10:0-22:0,10:0-21:45,,10:0-22:0,10:0-22:0,10:0-22:0,43.7386486,-79.5393644,Panino Cappuccino,,M9M 2T7,11,4.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
"208 Queens Quay W, Unit 9 10",True,True,True,,True,,True,True,True,False,False,False,True,,uuDxjiidiIb6dTsV9edUTA,"Restaurants, Italian, Chicken Wings, Pizza",Toronto,11:0-3:0,11:0-2:0,11:0-3:0,11:0-2:0,11:0-3:0,11:0-2:0,11:0-2:0,43.640257,-79.3817311,Pizza Pizza,Harbourfront,M5J 2Y5,10,2.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4 days 12:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
77 Lower Jarvis,True,True,False,,True,,False,False,True,False,False,False,True,,vQXhuCQ4Wc3WWesp9hy3VQ,"Pizza, Restaurants, Italian, Chicken Wings, Food, Food Delivery Services",Toronto,11:0-1:0,11:0-23:0,11:0-1:0,12:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,43.6475595,-79.3704531,Pizza Hut,St. Lawrence,M5E 1R8,17,1.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3 days 15:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
25 Toronto St,False,True,True,,True,,True,False,False,True,True,True,True,,tgZU8QAowa7V4Af6DV9UUg,"Restaurants, Italian",Toronto,11:30-23:0,11:30-23:0,17:0-23:0,,11:30-23:0,11:30-23:0,11:30-23:0,43.650703,-79.3760778,Mirto Italian Restaurant & Bar,Downtown Core,M5C 2R1,34,3.5,ON,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
460 College Street,True,False,False,False,False,True,False,True,False,True,True,True,False,False,9CYZaEbU3KjdLFMkKbUXVw,"Bars, Nightlife, Restaurants, Italian",Toronto,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,43.6565011,-79.40847,No One Writes To The Colonel,Palmerston,M6G 1A4,92,3.5,ON,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2 days 15:00:00.000000000,0.0,5.0,2.0,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
96 Harbord Street,False,,,,False,,False,False,False,False,True,True,False,,mXvWf2_sXWNaLRsBo4O5Eg,"Restaurants, Food, Breakfast & Brunch, Coffee & Tea, Italian, Japanese",Toronto,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,43.6629338716,-79.4032603875,J's Apron,,M5S 1G6,34,4.5,ON,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,2 days 01:00:00.000000000,0.0,0.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
"609 Roehampton Avenue, Unit 02",True,True,True,,True,,True,False,False,True,True,False,True,True,XlvpNPAZnzm-DJmKYmK2nQ,"Pizza, Sandwiches, Italian, Restaurants",Toronto,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,43.7115783028,-79.3788680434,Tosto Quickfire Pizza Pasta,Mount Pleasant and Davisville,M4P 1S7,33,3.5,ON,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,3 days 00:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
753 The Queensway,True,True,,,True,,False,False,False,True,True,True,True,,kqIjHVFbhg-mqRGRhpRKpg,"Restaurants, Italian",Toronto,,,,,,,,43.626083,-79.5036015,Prego Restaurant,Etobicoke,M8Z 1M8,6,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1923c Avenue Road,True,True,True,,True,,True,True,True,True,True,True,True,False,NvFpFlu-aHzUOtaA0yc-YA,"Italian, Pizza, Bistros, Restaurants",Toronto,11:0-22:30,11:0-22:0,12:0-22:30,17:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,43.7336548,-79.419277,Modo Mio Italian Bistro,,M5M 4A2,40,4.5,ON,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,2 days 23:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
Saint Clair East At O'connor,,True,,,True,,True,False,,True,True,True,True,,4HeS4zlbf-IbwEItbrISlw,"Restaurants, Italian, Canadian (New)",Toronto,,,,,,,,43.7053619,-79.3128067,Crazy Tomato,,M4B,12,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
2 Broadway Avenue,True,True,True,,True,True,True,False,True,True,True,True,True,,uwT7CppiYkek-Z-661sndQ,"Food, Wineries, Restaurants, Nightlife, Wine Bars, Bars, Italian, Pizza, Arts & Entertainment",Toronto,11:30-1:0,11:30-12:0,11:30-1:0,17:0-0:0,11:30-12:0,11:30-12:0,11:30-12:0,43.709659,-79.398488,Sip Wine Bar,Yonge and Eglinton,M4P 1T4,82,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,1 days 12:00:00.000000000,0.0,1.0,2.0,,,,,,,,,,,,,,,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
2425 Yonge St,True,True,False,,True,,False,True,True,True,True,True,True,True,rU3gQnwoCx_bjDJEsxathA,"Restaurants, Italian",Toronto,,,,,,,,43.7106419,-79.3988265,Amore Trattoria,Yonge and Eglinton,M4P 2E7,64,3.0,ON,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
1054 Gerrard Street E,True,True,True,,True,,False,True,True,True,True,True,True,False,WbMZHFOOzjmQybWyHdfDxA,"Breakfast & Brunch, Restaurants, Canadian (New), Gluten-Free, Comfort Food, Italian, Pizza, Food, Beer, Wine & Spirits",Toronto,16:0-23:0,16:0-22:0,16:0-23:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,43.6692354,-79.33609,Aprilé Bambina,Leslieville,M4M 1Z8,33,4.0,ON,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,1 days 20:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
736 Bay Street,True,True,True,,True,,True,False,True,True,False,False,True,True,0r9NuzpFE6l0hwVAJDnhVg,"Italian, Sandwiches, Pizza, Restaurants",Toronto,10:30-21:0,10:30-21:0,10:30-21:0,11:0-21:0,10:30-21:0,10:30-21:0,10:30-21:0,43.6593807,-79.385626,San Francesco Foods - Bay,Downtown Core,M5G 2M4,17,3.0,ON,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,3 days 01:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
4 Temperance Street,,True,,,,,True,True,,True,,,True,,y8S8Ff33VKPdRNMFjrJLYA,"Italian, Restaurants, Food",Toronto,,,,,,,,43.6510304,-79.3790972,Fiore,Downtown Core,M5H 2T7,4,3.0,ON,,,,,,,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
347 Keele Street,True,True,True,,True,,True,True,True,True,True,True,True,True,eQNApV0-OpYJec3y1OoBvg,"Italian, Gluten-Free, Restaurants, Vegetarian, Pizza, Vegan",Toronto,11:0-23:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-22:0,11:0-22:0,43.6647484,-79.4639484,Magic Oven,The Junction,M6P 2K6,39,3.0,ON,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,3 days 09:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
505 College Street,,True,True,False,False,False,False,True,False,True,True,True,True,False,Mr-r_r8qCnr9LMnazT0rhA,"Lounges, Italian, Nightlife, Restaurants, Bars",Toronto,18:0-2:0,,18:0-2:0,,18:0-2:0,18:0-2:0,18:0-2:0,43.6559783,-79.4100924,Teatro Restaurant,Little Italy,M6G 1A5,9,2.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
1993 Yonge St,True,True,,,False,,True,True,True,False,True,True,True,,-t2b2DaLhrb2-Ngv8Tvw9w,"Restaurants, Italian",Toronto,,,,,,,,43.7005834,-79.396869,Il Sogno Ristorante,Mount Pleasant and Davisville,M4S 1Z8,33,3.5,ON,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
2029 Yonge St,False,True,False,,False,,False,True,False,True,True,True,True,,B9pMUND3peh4fFtGmqA4LA,"Restaurants, Italian",Toronto,,,,,,,,43.7015465,-79.3970115,Balsamico Ristorante,Mount Pleasant and Davisville,M4S 2A2,33,4.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
584 College St,,True,,True,False,,,True,,True,,False,,True,aRut7oOB3wIuVQXLCrvEzQ,"Italian, Bars, Lounges, Restaurants, Nightlife",Toronto,17:0-2:0,,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,43.6554173,-79.4133905,Riva,Little Italy,M6G,5,2.5,ON,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,,2.0,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
259 Queen Street W,True,True,,,True,,True,False,,True,False,False,True,,ZVJThf69z1Fu-CYm69_xDA,"Restaurants, Italian, Gluten-Free, Pizza",Toronto,11:30-2:0,11:30-22:0,11:30-2:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,43.6501893,-79.3890512,90 Second Pizzeria,Queen Street West,M5V 1Z4,6,3.5,ON,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3 days 09:30:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
1617 Dupont Street,,True,,,True,,False,False,False,True,False,True,True,,dGuRCJV66l-K7flfrwEgaA,"Cafes, Bakeries, Italian, Food, Pizza, Restaurants",Toronto,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,43.6648758891,-79.4549725527,Mattachioni,The Junction,M6P 3S8,29,4.0,ON,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4 days 02:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
1108 St Clair W,False,,True,,True,,False,False,True,True,True,True,True,False,OlklbRrfBIlc6obPtZPF3w,"Pizza, Mediterranean, Italian, Restaurants",Toronto,12:0-23:0,17:0-22:0,12:0-23:0,11:0-22:0,12:0-23:0,17:0-22:0,12:0-23:0,43.6786856,-79.440601,CANO Restaurant,,M6E 1A7,18,4.0,ON,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,2 days 17:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
"865 York Mills, Unit 9",True,True,True,,True,,False,False,False,True,True,True,True,True,3k9treY8PmsZ42bKmuICgA,"Sushi Bars, Thai, Italian, Restaurants",Toronto,11:30-23:0,11:30-22:0,11:30-23:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,43.754171,-79.3494929,Spoon And Fork Plus,,M3B 1Y6,163,3.0,ON,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 03:30:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
865 York Mills Road,True,,,,True,,,,False,True,True,True,True,,a_HejZvHvG2IM7ri1CnlYA,"Italian, Pizza, Restaurants",Toronto,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,43.7541723,-79.3495129,Paisano,,M3B 1Y6,31,3.0,ON,False,False,False,False,False,False,False,True,,,,,,,False,False,False,False,False,3 days 07:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
504 Jarvis Street,False,True,True,False,False,True,False,True,False,True,True,True,True,False,liCPyfxs-CYXAV_zAmB9dw,"Nightlife, Italian, Cocktail Bars, Bars, Pizza, Restaurants",Toronto,17:0-22:0,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,43.6672279,-79.3789748,Osteria Dei Ganzi,Church-Wellesley Village,M4Y 2H6,57,3.5,ON,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,,,,2.0,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
492 College Street,,True,,,False,,False,True,False,True,True,True,True,True,XxXJat55Oep1BMzQ9yJJhQ,"Sandwiches, Italian, Restaurants",Toronto,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,43.6562802,-79.4097497,Negroni,Palmerston,M6G 1A4,36,4.0,ON,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,4 days 09:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
"Sherway Gardens, 25 The W Mall",,,,,,,,False,False,True,False,False,True,,40AZvMTzJ6jmjw9-H2H6hw,"Food, Italian, Desserts, Beer, Wine & Spirits, Restaurants",Toronto,10:0-21:0,10:0-21:0,9:30-21:0,11:0-18:0,10:0-21:0,10:0-21:0,10:0-21:0,43.6127811763,-79.5576543686,Bar Freddo Caffe,Etobicoke,M9C 1B8,11,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3 days 01:30:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1279 Bloor Street  W,,,,False,True,False,True,False,False,False,False,False,True,,zEwQJl9haP5BYIl0peOpGA,"Restaurants, Cocktail Bars, Bars, Nightlife, Sandwiches, Italian",Toronto,11:30-21:30,11:30-21:30,11:30-21:30,,11:30-21:30,11:30-21:30,11:30-21:30,43.65836,-79.4422494,Sugo,Bloordale Village,M6H 3Y2,48,4.5,ON,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,,0.0,5.0,,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
124 Harbord Street,True,True,True,,True,,False,True,True,True,False,True,True,False,IQ3esF7MvIOCbeVetW51Ng,"Salad, Restaurants, Juice Bars & Smoothies, Gastropubs, Breakfast & Brunch, Coffee Roasteries, Burgers, Comfort Food, Italian, Coffee & Tea, Local Flavor, Vegetarian, Food, Diners",Toronto,11:0-22:0,10:0-21:0,10:0-22:0,10:0-21:0,11:0-22:0,16:0-21:0,11:0-21:0,43.662723,-79.4043569,Harvest Kitchen,,M5S 1G8,166,3.5,ON,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,2 days 23:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
974 College Street,,True,,,True,,True,False,False,True,,True,True,,PPrE3wc9hihGLQOX0Y6nvg,"Italian, Restaurants",Toronto,10:0-22:0,,10:0-22:0,,10:0-22:0,10:0-22:0,10:0-22:0,43.6534635,-79.4276819,Black Skirt,Dufferin Grove,M6H 1A5,19,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
