address,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,state,cuisine,negative_reviews,neutral_reviews,positive_reviews,stars
4341 N Rancho Dr,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,False,,,False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,True,casual,,True,True,1.0,True,True,True,,True,free,yGd87bkFijZ6YHrHtW5maA,"American (New), Thai, Restaurants, Italian",Las Vegas,11:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,0,36.2377817298,-115.231436995,Basil Thai Fusion,Northwest,89130,109,NV,american,24.0,16.0,69.0,3.614678899082569
211 E Flamingo Rd,,,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,,True,,,,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,True,,,,,casual,,False,True,2.0,False,True,False,,,,hpg2c5vFer85hvTnun2mNg,"Restaurants, American (New)",Las Vegas,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,1,36.113748,-115.162994,Kilawat,Eastside,89169,10,NV,american,3.0,,7.0,2.3
6635 Las Vegas Blvd. South,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': True}",,True,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,True,casual,,False,True,2.0,True,True,True,,True,free,uUEKndnFbHD8mVkGiirtpA,"Seafood, Hawaiian, American (New), Restaurants",Las Vegas,11:0-23:0,11:0-22:0,11:0-23:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,1,36.0684969257,-115.176930629,Tommy Bahama Restaurant | Bar | Store - Las Vegas,Southeast,89119,455,NV,american,23.0,30.0,402.0,4.131868131868132
"5105 S Fort Apache Rd, Ste 105",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,False,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}",,,True,,average,,True,casual,,False,True,1.0,False,False,True,,,no,gwwVVeWXlEfwATjp2cGzuA,"Restaurants, Salad, American (New), Burgers, Mediterranean",Las Vegas,10:0-21:0,10:0-21:0,10:0-21:0,12:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,1,36.0946251,-115.297747,Philly Steak Express,Spring Valley,89148,156,NV,american,21.0,22.0,113.0,4.089743589743589
820 E Warm Springs Rd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': True, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,False,False,True,"{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,False,True,True,no,,free,qRhxldX3lnOMJUNlytYvfQ,"Bars, Sports Bars, Restaurants, Chicken Wings, American (New), Burgers, Steakhouses, Nightlife, American (Traditional)",Las Vegas,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,1,36.0575942,-115.1451,Applebee's Grill + Bar,Southeast,89119,93,NV,american,31.0,19.0,43.0,2.5376344086021505
"Hard Rock Hotel and Casino, 4455 Paradise Rd",,,none,,,,,,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,True,,,,,,,False,,dressy,,False,True,3.0,True,True,True,,True,,TEwdAxcVKUzcG9pWl05BKw,"American (New), Restaurants",Las Vegas,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,0,36.1100828,-115.1538714,Simon Kitchen and Bar,Eastside,89109,13,NV,american,,1.0,12.0,3.8461538461538463
4424 W Spring Mountain Rd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}",loud,,False,casual,,False,True,2.0,False,True,True,yes,True,no,glVCZzuFSnf24UGYsOl2Vw,"Nightlife, American (New), Pubs, Bars, Sports Bars, Restaurants, Beer, Wine & Spirits, Food",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0,36.1266402147,-115.19954771,PT's,Chinatown,89102,64,NV,american,14.0,7.0,43.0,3.1875
6599 Las Vegas Blvd,,,beer_and_wine,,,,,,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,,,,,,dressy,,,,3.0,,True,False,,,,U8rsbHtpV60h8USOL-kaLg,"Restaurants, American (New)",Las Vegas,,,,,,,,0,36.068614200000006,-115.1776615,Louis's Las Vegas,Southeast,89119,4,NV,american,2.0,,2.0,4.5
1725 N Rainbow Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fIC9tXNgCfKCncoIujZC6w,"American (New), Restaurants",Las Vegas,,,,,,,,0,36.192231,-115.2422955,Bonzai Bob's,,89108,4,NV,american,,1.0,3.0,4.75
"4588 N Rancho Dr, Ste 7",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,False,True,1.0,False,False,True,,,free,wqaLf9ShvoJxr7NScUrUFg,"Food, American (New), Food Delivery Services, Filipino, Restaurants",Las Vegas,9:30-19:0,,9:30-19:0,,9:30-19:0,9:30-19:0,9:30-19:0,0,36.243892,-115.234956,Baba's Tsi-bugan Restaurant,Northwest,89130,51,NV,american,8.0,5.0,38.0,4.078431372549019
3708 Las Vegas Blvd S,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,False,"{'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",very_loud,,False,dressy,,False,True,4.0,True,True,False,no,True,free,bpRo8L8dkhgbJhdIKa9mwA,"Bars, Nightlife, American (New), Restaurants, Steakhouses, Cocktail Bars",Las Vegas,17:30-0:0,17:30-23:0,17:30-0:0,17:30-23:0,17:30-23:0,17:30-23:0,17:30-23:0,1,36.1098294728,-115.17361841399999,STK Las Vegas,The Strip,89109,1464,NV,american,118.0,144.0,1204.0,3.8656207366984994
"3945 S Durango Dr, Ste A1",,,beer_and_wine,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,True,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}",,,True,,average,,True,casual,,False,True,1.0,True,True,True,,True,free,aMZzd9RrRyhpuUJycefotA,"American (New), Diners, Breakfast & Brunch, Restaurants",Las Vegas,7:0-21:0,7:0-15:0,7:0-21:0,7:0-15:0,7:0-21:0,7:0-21:0,7:0-21:0,1,36.1192428,-115.279717,Norm's Diner,Spring Valley,89147,98,NV,american,5.0,14.0,79.0,4.255102040816326
5757 Wayne Newton Blvd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,False,,,,,False,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,False,2.0,False,True,True,no,,no,UGiMMw54qYxac0eE_cBbaA,"Nightlife, Mexican, Restaurants, American (New), Sports Bars, Bars",Las Vegas,,,,,,,,1,36.0826883675,-115.148259147,Sammy's Beach Bar & Grill,Southeast,89169,195,NV,american,86.0,34.0,75.0,2.353846153846154
3732 Las Vegas Blvd S,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}",,,,False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}",,False,,,,,,,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}",,,False,,average,,False,dressy,,False,True,4.0,True,True,True,,True,no,f9sU31meK0bqAD7922sCog,"Mediterranean, American (New), Restaurants",Las Vegas,18:0-22:0,18:0-22:0,18:0-22:0,18:0-22:30,18:0-22:0,18:0-22:0,18:0-22:0,1,36.1081923221,-115.17601346100001,Sage,The Strip,89109,1023,NV,american,70.0,63.0,890.0,4.1759530791788855
6570 S Buffalo Dr,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': True, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,True,casual,,False,True,2.0,False,True,True,yes,,free,kzwiQ54fopeTgGEIkgJ2dQ,"Nightlife, Bars, Restaurants, American (Traditional), Pubs, Breakfast & Brunch, Sports Bars, American (New)",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.0687921,-115.2601824,Pt's Gold,Spring Valley,89113,101,NV,american,26.0,14.0,61.0,3.3267326732673266
"7060 S Durango Dr, Ste 101",,,full_bar,"{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",,,,False,False,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,True,,,,False,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,False,True,2.0,True,True,True,,True,no,9cw870n3gsGikVoOT5YOYg,"Seafood, Restaurants, Sushi Bars, Asian Fusion, American (New), American (Traditional), Japanese",Las Vegas,11:30-22:30,11:30-22:30,15:0-22:30,15:0-22:30,11:30-22:30,11:30-22:30,11:30-22:30,1,36.0609228604,-115.277371824,Pier 215,Spring Valley,89113,513,NV,american,24.0,43.0,445.0,4.48828125
"Hard Rock Hotel & Casino, 4455 Paradise Rd",,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",,,,,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,,,,,,,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}",,,False,,average,,False,casual,,False,True,2.0,True,True,False,,True,no,3cg4pKBL8DTFXCtZ5y9V4g,"Restaurants, American (New)",Las Vegas,,,,,,,,0,36.1090162612,-115.15386879399999,Johnny Smalls,Eastside,89199,133,NV,american,14.0,16.0,103.0,3.43609022556391
"467 E Silverado Ranch Blvd, Ste 100",,,beer_and_wine,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,,,,False,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}",,,True,,average,,True,casual,,False,True,1.0,False,True,True,,,free,Yn-8zix5_blucvZo3G8kPw,"American (New), Breakfast & Brunch, Burgers, American (Traditional), Restaurants",Las Vegas,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,0,36.0123716681,-115.152726141,New Day Cafe,Southeast,89183,200,NV,american,33.0,30.0,137.0,3.61
"5040 Boulder Hwy, Ste 110",,,,,,,,False,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,,,,,,,,,,,,,,,,,,,,1.0,,,True,,,no,Z3y47L3EY-axAEVbwmXZaA,"American (New), Ice Cream & Frozen Yogurt, Food, Restaurants",Las Vegas,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,1,36.0985798123,-115.04957579100001,Thrifty Ice Cream,Southeast,89122,24,NV,american,4.0,4.0,16.0,3.4166666666666665
"9410 W Sahara Ave, Ste 150",,,beer_and_wine,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,,,,False,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,False,True,2.0,True,True,True,,True,no,ZibmYdOPKLlqDM9oR6xzOA,"Asian Fusion, Burgers, Restaurants, Bars, Nightlife, Wine Bars, American (New)",Las Vegas,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,36.1469098416,-115.30077702,Bachi Burger,Westside,89117,1114,NV,american,173.0,119.0,822.0,3.7836624775583485
"Caesars Palace, 3570 Las Vegas Blvd",,,full_bar,"{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}",,,,,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}",,False,,,,,,,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}",,,False,,quiet,,False,dressy,False,False,True,4.0,True,True,False,,True,free,ujKxpaUmTUVpGRBFSvZfbg,"Restaurants, American (New)",Las Vegas,,,,,,,,0,36.1162194,-115.1745719,Bradley Ogden,The Strip,89109,199,NV,american,11.0,15.0,173.0,4.040201005025126
