address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,state,cuisine,cat,cat_Calgary_american_1.0,cat_Calgary_american_2.0,cat_Calgary_american_3.0,cat_Calgary_american_4.0,cat_Calgary_american_nan,cat_Calgary_chinese_1.0,cat_Calgary_chinese_2.0,cat_Calgary_chinese_3.0,cat_Calgary_chinese_nan,cat_Calgary_italian_1.0,cat_Calgary_italian_2.0,cat_Calgary_italian_3.0,cat_Calgary_italian_4.0,cat_Calgary_italian_nan,cat_Las Vegas_american_1.0,cat_Las Vegas_american_2.0,cat_Las Vegas_american_3.0,cat_Las Vegas_american_4.0,cat_Las Vegas_american_nan,cat_Las Vegas_chinese_1.0,cat_Las Vegas_chinese_2.0,cat_Las Vegas_chinese_3.0,cat_Las Vegas_chinese_4.0,cat_Las Vegas_chinese_nan,cat_Las Vegas_italian_1.0,cat_Las Vegas_italian_2.0,cat_Las Vegas_italian_3.0,cat_Las Vegas_italian_4.0,cat_Las Vegas_italian_nan,cat_Toronto_american_1.0,cat_Toronto_american_2.0,cat_Toronto_american_3.0,cat_Toronto_american_4.0,cat_Toronto_american_nan,cat_Toronto_chinese_1.0,cat_Toronto_chinese_2.0,cat_Toronto_chinese_3.0,cat_Toronto_chinese_4.0,cat_Toronto_chinese_nan,cat_Toronto_italian_1.0,cat_Toronto_italian_2.0,cat_Toronto_italian_3.0,cat_Toronto_italian_4.0,cat_Toronto_italian_nan,negative_reviews,neutral_reviews,positive_reviews,stars,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
4341 N Rancho Dr,True,True,True,,False,,True,True,True,True,True,True,True,True,yGd87bkFijZ6YHrHtW5maA,"American (New), Thai, Restaurants, Italian",Las Vegas,13.0,11.0,11.0,11.0,11.0,11.0,11.0,36.2377817298,-115.231436995,Basil Thai Fusion,Northwest,89130,109,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,16.0,69.0,3.614678899082569,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,79.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
211 E Flamingo Rd,True,True,,,True,,True,,False,True,False,True,False,,hpg2c5vFer85hvTnun2mNg,"Restaurants, American (New)",Las Vegas,8.0,8.0,8.0,8.0,8.0,8.0,8.0,36.113748,-115.162994,Kilawat,Eastside,89169,10,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,7.0,2.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,56.0,5.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6635 Las Vegas Blvd. South,True,True,True,,True,,True,True,False,True,True,True,True,True,uUEKndnFbHD8mVkGiirtpA,"Seafood, Hawaiian, American (New), Restaurants",Las Vegas,12.0,11.0,12.0,10.0,11.0,11.0,11.0,36.0684969257,-115.176930629,Tommy Bahama Restaurant | Bar | Store - Las Vegas,Southeast,89119,455,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,30.0,402.0,4.131868131868131,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,78.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
"5105 S Fort Apache Rd, Ste 105",True,True,True,,True,,True,True,False,True,False,False,True,,gwwVVeWXlEfwATjp2cGzuA,"Restaurants, Salad, American (New), Burgers, Mediterranean",Las Vegas,11.0,11.0,11.0,9.0,11.0,11.0,11.0,36.0946251,-115.297747,Philly Steak Express,Spring Valley,89148,156,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,22.0,113.0,4.089743589743589,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,75.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
820 E Warm Springs Rd,True,True,False,False,True,True,True,False,False,True,False,True,True,,qRhxldX3lnOMJUNlytYvfQ,"Bars, Sports Bars, Restaurants, Chicken Wings, American (New), Burgers, Steakhouses, Nightlife, American (Traditional)",Las Vegas,13.0,13.0,13.0,13.0,13.0,13.0,13.0,36.057594200000004,-115.1451,Applebee's Grill + Bar,Southeast,89119,93,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,19.0,43.0,2.5376344086021505,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,91.0,0.0,5.0,2.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
"Hard Rock Hotel and Casino, 4455 Paradise Rd",,True,,,True,,,,False,True,True,True,True,True,TEwdAxcVKUzcG9pWl05BKw,"American (New), Restaurants",Las Vegas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,36.1100828,-115.15387140000001,Simon Kitchen and Bar,Eastside,89109,13,NV,american,Las Vegas_american_3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,12.0,3.8461538461538463,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,49.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4424 W Spring Mountain Rd,True,True,False,False,False,True,True,False,False,True,False,True,True,True,glVCZzuFSnf24UGYsOl2Vw,"Nightlife, American (New), Pubs, Bars, Sports Bars, Restaurants, Beer, Wine & Spirits, Food",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1266402147,-115.19954771,PT's,Chinatown,89102,64,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,7.0,43.0,3.1875,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
6599 Las Vegas Blvd,,True,,,,,,,,,,True,False,,U8rsbHtpV60h8USOL-kaLg,"Restaurants, American (New)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.068614200000006,-115.1776615,Louis's Las Vegas,Southeast,89119,4,NV,american,Las Vegas_american_3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1725 N Rainbow Blvd,,,,,,,,,,,,,,,fIC9tXNgCfKCncoIujZC6w,"American (New), Restaurants",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.192231,-115.24229550000001,Bonzai Bob's,,89108,4,NV,american,Las Vegas_american_nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"4588 N Rancho Dr, Ste 7",True,True,True,,True,,True,False,False,True,False,False,True,,wqaLf9ShvoJxr7NScUrUFg,"Food, American (New), Food Delivery Services, Filipino, Restaurants",Las Vegas,9.5,0.0,9.5,0.0,9.5,9.5,9.5,36.243891999999995,-115.23495600000001,Baba's Tsi-bugan Restaurant,Northwest,89130,51,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,5.0,38.0,4.078431372549018,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,47.5,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
3708 Las Vegas Blvd S,False,True,False,False,False,True,False,False,False,True,True,True,False,True,bpRo8L8dkhgbJhdIKa9mwA,"Bars, Nightlife, American (New), Restaurants, Steakhouses, Cocktail Bars",Las Vegas,6.5,5.5,6.5,5.5,5.5,5.5,5.5,36.1098294728,-115.17361841399999,STK Las Vegas,The Strip,89109,1464,NV,american,Las Vegas_american_4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,144.0,1204.0,3.8656207366984994,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,40.5,0.0,5.0,2.0,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
"3945 S Durango Dr, Ste A1",True,True,True,,True,,True,True,False,True,True,True,True,True,aMZzd9RrRyhpuUJycefotA,"American (New), Diners, Breakfast & Brunch, Restaurants",Las Vegas,14.0,8.0,14.0,8.0,14.0,14.0,14.0,36.119242799999995,-115.27971699999999,Norm's Diner,Spring Valley,89147,98,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,14.0,79.0,4.255102040816326,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,86.0,5.0,4.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
5757 Wayne Newton Blvd,False,True,False,False,True,True,True,False,False,False,False,True,True,,UGiMMw54qYxac0eE_cBbaA,"Nightlife, Mexican, Restaurants, American (New), Sports Bars, Bars",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0826883675,-115.148259147,Sammy's Beach Bar & Grill,Southeast,89169,195,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,34.0,75.0,2.3538461538461544,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
3732 Las Vegas Blvd S,False,True,False,,False,,False,False,False,True,True,True,True,True,f9sU31meK0bqAD7922sCog,"Mediterranean, American (New), Restaurants",Las Vegas,4.0,4.0,4.0,4.5,4.0,4.0,4.0,36.1081923221,-115.17601346100001,Sage,The Strip,89109,1023,NV,american,Las Vegas_american_4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,63.0,890.0,4.1759530791788855,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,28.5,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
6570 S Buffalo Dr,True,True,False,False,False,True,True,True,False,True,False,True,True,,kzwiQ54fopeTgGEIkgJ2dQ,"Nightlife, Bars, Restaurants, American (Traditional), Pubs, Breakfast & Brunch, Sports Bars, American (New)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0687921,-115.2601824,Pt's Gold,Spring Valley,89113,101,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,14.0,61.0,3.3267326732673266,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,0.0,5.0,5.0,2.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
"7060 S Durango Dr, Ste 101",False,True,True,,True,,True,False,False,True,True,True,True,True,9cw870n3gsGikVoOT5YOYg,"Seafood, Restaurants, Sushi Bars, Asian Fusion, American (New), American (Traditional), Japanese",Las Vegas,11.0,11.0,7.5,7.5,11.0,11.0,11.0,36.0609228604,-115.277371824,Pier 215,Spring Valley,89113,513,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,43.0,445.0,4.48828125,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,70.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
"Hard Rock Hotel & Casino, 4455 Paradise Rd",,True,False,,False,,False,False,False,True,True,True,False,True,3cg4pKBL8DTFXCtZ5y9V4g,"Restaurants, American (New)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1090162612,-115.15386879399999,Johnny Smalls,Eastside,89199,133,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,16.0,103.0,3.43609022556391,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
